time,vertical_speed,horizontal_speed,dist,distance_from_moon,angle,weight,acceleration,dvs,fuel,PID,NN
256,23.999694296483906,557.8771299202471,-12490.137272019469,7602.572646520789,58.3,286,2.0738066567279225,24,79.77962090256369,0.0006545788548442032,0.8064095110121043
257,23.99968727402099,556.1127121779053,-13046.249984197373,7578.572959246768,58.3,286,2.0770104247908328,24,79.600597991119,0.0006541986942281933,0.8070637097063326
258,23.999680224369154,554.3455686341038,-13600.595552831477,7554.573279022398,58.3,286,2.0802191421271425,24,79.4214298475642,0.0006538153376819935,0.8077175250440145
259,23.999673147560813,552.5756950779454,-14153.171247909422,7530.573605874837,58.3,286,2.0834328163831,24,79.24211655700442,0.0006534287783153174,0.8083709538223298
260,23.999666043628178,550.8030872920281,-14703.97433520145,7506.573939831209,58.3,286,2.0866514552167597,24,79.06265820525587,0.0006530390092395851,0.8090239928315694
261,23.999658912603273,549.0277410524338,-15253.002076253884,7482.574280918606,58.3,286,2.0898750662979966,24,78.88305487884726,0.0006526460235704232,0.8096766388551399
262,23.99965175451793,547.2496521287192,-15800.251728382604,7458.574629164088,58.3,286,2.093103657308528,24,78.70330666502142,0.0006522498144246234,0.8103288886695644
263,23.999644569403802,545.468816283905,-16345.720544666508,7434.574984594684,58.3,286,2.096337235941932,24,78.52341365173677,0.0006518503749233577,0.8109807390444878
264,23.99963735729236,543.6852292744662,-16889.405773940976,7410.575347237392,58.3,286,2.0995758099036643,24,78.3433759276689,0.0006514476981908443,0.8116321867426786
265,23.9996301182149,541.8988868503222,-17431.3046607913,7386.575717119177,58.3,286,2.1028193869110803,24,78.16319358221203,0.0006510417773527319,0.8122832285200313
266,23.999622852202535,540.109784754826,-17971.414445546125,7362.576094266975,58.3,286,2.106067974693449,24,77.98286670548059,0.0006506326055384614,0.8129338611255698
267,23.99961555928622,538.3179187247546,-18509.73236427088,7338.576478707689,58.3,286,2.10932158099197,24,77.80239538831071,0.0006502201758815021,0.8135840813014512
268,23.999608239496737,536.5232844902987,-19046.25564876118,7314.576870468192,58.3,286,2.1125802135597986,24,77.62177972226179,0.000649804481517879,0.8142338857829691
269,23.99960089286471,534.7258777750526,-19580.981526536234,7290.577269575328,58.3,286,2.11584388016206,24,77.44101979961798,0.0006493855155869767,0.8148832712985561
270,23.9995935194206,532.9256942960038,-20113.90722083224,7266.577676055907,58.3,286,2.119112588575867,24,77.2601157133897,0.0006489632712324877,0.8155322345697886
